,0
BSX,63443632128
ADI,62674771968
WM,62614097920
ATVI,62465507328
ECL,62385729536
D,61360349184
EMR,60605677568
IDXX,60187709440
AON,59236012032
NXPI,58706534400
NOC,57739927552
GD,56305463296
PGR,55849320448
DG,55699496960
ALGN,55333892096
TWTR,55294234624
F,54725386240
KLAC,54217375744
PSA,54052454400
HUM,53656920064
CMG,53485387776
VRTX,52547211264
FCX,52539248640
MSCI,51710291968
MET,51633045504
ROP,51548168192
JCI,51524640768
BIIB,50675310592
DXCM,50667122688
INFO,50603507712
GPN,50275287040
NEM,49071169536
TEL,49045016576
FTNT,48998666240
CARR,48942022656
MNST,48601272320
TROW,48154722304
IQV,47610507264
LHX,47400501248
A,47045799936
TT,46736691200
EXC,46581927936
MAR,46149562368
EBAY,45835309056
DOW,45566328832
KHC,45183156224
KMB,45016805376
AEP,44852506624
SNPS,44734992384
BK,44712415232
APH,44074270720
SPG,44034084864
DLR,43916468224
APTV,43179417600
ROST,43093790720
STZ,42306818048
CDNS,42229493760
ORLY,42200137728
AIG,41757138944
PAYX,41549508608
EOG,41287184384
CTAS,41180774400
MCHP,40969474048
SRE,40661692416
WBA,40566009856
PRU,40219521024
YUM,39811489792
DD,39490256896
EA,39367368704
CNC,39177273344
SLB,39041372160
DFS,38936449024
OTIS,38936145920
RMD,38908604416
PH,38746484736
CTSH,38712041472
PPG,38633979904
KMI,38543155200
SBAC,37935058944
TRV,37865598976
ALL,37826469888
RSG,37719273472
MSI,37712105472
SYY,37611507712
AFL,37273075712
XEL,37265448960
BAX,37223301120
XLNX,37122506752
PXD,37029474304
HSY,37000536064
IFF,36849266688
MPC,36829732864
ROK,36414513152
WELL,36148969472
MTD,35545407488
AZO,35325067264
HLT,35206701056
GIS,35122130944
FRC,35113304064
HPQ,35112828928
CPRT,35063226368
GLW,34811985920
DHI,34729025536
TDG,34282860544
CMI,33373761536
BF-B,33014210560
CBRE,32938018816
ADM,32890722304
AWK,32609386496
ANSS,32586188800
LYB,32321998848
LEN,32311040000
PEG,32275443712
PSX,32126304256
AVB,31996067840
FAST,31853971456
MCK,31780876288
SWK,31693395968
AME,31652100096
EQR,31648303104
VFC,31608199168
ODFL,31564513280
ARE,31561996288
GRMN,31490641920
WST,31423795200
KR,31318759424
ZBH,31307741184
LVS,31146852352
EFX,31132844032
NDAQ,30961063936
SIVB,30921041920
VRSK,30782703616
SWKS,30672625664
KEYS,30655205376
ES,30578776064
CTVA,30545463296
WMB,30466179072
ZBRA,30459701248
WEC,30433171456
STT,30426222592
NUE,30376054784
AMP,29911166976
LUV,29834971136
LH,29203507200
ANET,29198338048
BBY,28897069056
AJG,28659683328
SYF,28085415936
WLTW,28053786624
PCAR,27803723776
PAYC,27520016384
VIAC,27008747520
MXIM,26959847424
ED,26951680000
VLO,26859618304
CCL,26846676992
CDW,26725685248
BLL,26516439040
O,26444949504
FITB,25963878400
WY,25832931328
TSN,25585879040
DAL,25579483136
ALB,25567608832
GNRC,25415991296
IT,25412364288
ABC,25327159296
ENPH,24893982720
FTV,24885047296
KSU,24708503552
HRL,24675254272
WAT,24516075520
OXY,24446244864
DOV,24351010816
CSX,24350410752
VRSN,24198443008
CERN,24075227136
EXPE,23757596672
VMC,23587837952
URI,23551109120
EXR,23516069888
HIG,23363864576
NTRS,23359553536
OKE,23261485056
ETSY,23184859136
DTE,23117445120
XYL,22958954496
DLTR,22949529600
GWW,22889883648
BIO,22868027392
MLM,22610524160
HES,22576414720
VTR,22500956160
IP,22493652992
TRMB,22441289728
MKC,22237489152
PPL,22205691904
KMX,22188537856
DISH,22079176704
AEE,22010777600
QRVO,21927444480
MAA,21921970176
FLT,21736742912
TSCO,21676195840
STE,21483339776
ETR,21359388672
K,21284405248
HBAN,21284290560
MPWR,21206065152
ESS,21164290048
TDY,21140977664
FOXA,21113288704
TER,21045950464
IR,21014593536
EXPD,20968886272
PKI,20966621184
EIX,20956360704
STX,20804554752
CTLT,20802164736
DPZ,20791830528
FE,20651884544
CRL,20602140672
WDC,20553801728
CHD,20539353088
FOX,20491978752
CLX,20342284288
COO,20275361792
BR,20197793792
PEAK,20134576128
TYL,20124510208
RCL,19881996288
HOLX,19563388928
POOL,19524001792
ULTA,19477436416
MGM,19459561472
NVR,19326038016
KEY,19313328128
HPE,19184111616
DRE,19079237632
DRI,18902888448
ROL,18902482944
CZR,18887260160
RF,18783510528
CINF,18750078976
MKTX,18639251456
LYV,18535571456
AKAM,18480031744
CFG,18370361344
CMS,18296766464
BXP,18240368640
NTAP,18221617152
TTWO,18213289984
DVN,18025844736
AMCR,18008107008
GPC,17941977088
RJF,17928927232
DGX,17906671616
TFX,17657483264
JBHT,17633318912
AVY,17562906624
HAL,17331724288
PFG,17299961856
MTB,17288525824
BKR,17282238464
IEX,17244690432
CE,17238480896
INCY,16916476928
VTRS,16836633600
J,16763879424
AES,16559046656
UDR,16406071296
WAB,16272727040
TXT,16174307328
PTC,15839695872
OMC,15825659904
ABMD,15819056128
CAG,15689868288
BEN,15687740416
EVRG,15372420096
MAS,15351515136
UAL,15285824512
LKQ,15268144128
LNT,15125663744
EMN,15076070400
CAH,14672784384
NWS,14625902592
CNP,14473485312
FANG,14447793152
DISCK,14433239040
IPG,14350356480
NWSA,14302219264
L,14216767488
PHM,14066052096
SJM,13913536512
NLOK,13912881152
WHR,13891433472
MHK,13878862848
DVA,13819806720
FBHS,13741747200
HWM,13738505216
DISCA,13733869568
HAS,13628959744
AAL,13538345984
AAP,13502662656
LDOS,13321860096
ATO,13250436096
PKG,13160481792
XRAY,13044500480
LUMN,13020551168
UHS,12984527872
CBOE,12909005824
PWR,12893684736
WRB,12888503296
JKHY,12866750464
CPB,12796069888
WRK,12767398912
IRM,12764001280
PNR,12707805184
FFIV,12663627776
CTXS,12571909120
LNC,12480852992
ALLE,12315288576
TPR,12119168000
SNA,12057136128
FMC,12015203328
CHRW,11934432256
MOS,11659429888
WYNN,11486548992
AOS,11355757568
PENN,11298428928
IVZ,11236332544
RHI,11168702464
BWA,11157729280
HST,11142037504
REG,11095386112
HSIC,11078278144
GPS,10765432832
NWL,10755836928
UAA,10602181632
TAP,10484045824
UA,10389494784
RE,10388841472
NRG,10272325632
NI,9978000384
DXC,9857880064
IPGP,9849101312
CMA,9786870784
CF,9693932544
AIZ,9617370112
GL,9544769536
FRT,9411034112
LW,9388379136
MRO,9292323840
KIM,9280357376
JNPR,9248822272
RL,9152307200
WU,9114042368
PNW,8959194112
NCLH,8944979968
SEE,8903846912
ZION,8701905920
NLSN,8288450560
HII,8175203328
VNO,8141091328
PVH,7773211648
ALK,7208411648
APA,6826191872
HBI,6811233792
PBCT,6669654016
LEG,6447144960
PRGO,6437929472
COG,6406696960
UNM,5208145408
NOV,5140861952
BBWI,
OGN,
